date,Air,Auto,Boat,Bus,Coach,Cruise,Total,Train
20160730,10547,5845,7901,11160,14836,13037,76133,14559
20160731,10551,5385,7484,10292,13679,10501,70828,14559
20160801,9687,5689,7760,10871,14443,5365,66665,14559
20160802,9389,5625,7702,10751,14283,4973,65591,14559
20160803,10021,5558,7640,10615,14115,6720,67555,14559
20160804,10441,5717,7785,10922,14513,6986,69206,14559
20160805,10403,5885,7940,11246,14941,3042,66252,14559
20160806,10416,6040,8080,11534,15330,10144,74297,14559
20160807,10720,5717,7787,10922,14520,5161,67669,14559
20160808,10176,5928,7981,11330,15056,0,63255,14559
20160809,9420,5916,7967,11296,15023,0,62410,14559
20160810,9561,5658,7729,10802,14359,0,60969,14559
20160811,10350,5785,7846,11040,14686,0,62531,14559
20160812,10340,6007,8049,11467,15251,0,63877,14559
20160813,10426,6204,8228,11841,15747,9699,74851,14559
20160814,10741,6048,8089,11551,15358,3198,67734,14559
20160815,9752,5534,7616,10564,14048,2532,62942,14559
20160816,9165,4772,6922,9118,12121,2096,57303,14559
20160817,9662,4944,7078,9441,12556,2096,58836,14559
20160818,9937,5518,7601,10530,14009,0,60495,14559
20160819,10232,5749,7812,10972,14593,2094,64286,14559
20160820,10593,5429,7524,10377,13786,11729,72363,14559
20160821,10175,4739,6891,9051,12039,5259,61271,14559
20160822,10215,4684,6839,8947,11890,6679,62388,14559
20160823,9287,4971,7103,9493,12627,2601,59136,14559
20160824,9386,4975,7108,9509,12632,2075,58738,14559
20160825,9354,5139,7256,9816,13048,4608,62228,14559
20160826,10496,5649,7722,10786,14342,2532,64387,14559
20160827,10218,5828,7886,11126,14798,9919,72587,14559
20160828,10558,4859,7003,9289,12344,7717,64854,14559
20160829,9919,4536,6704,8659,11523,1951,56467,14559
20160830,9581,4516,6686,8625,11469,4193,58249,14559
20160831,9986,4545,6711,8676,11539,3396,58025,14559
20160901,10578,4907,7044,9374,12461,1300,58735,14559
20160902,10564,6072,8111,11603,15414,5128,69635,14559
20160903,10580,6112,8146,11670,15521,13525,78287,14559
20160904,11072,4508,6679,8608,11447,3753,59249,14559
20160905,10394,4616,6777,8811,11723,2532,58006,14559
20160906,8778,4883,7022,9322,12404,0,55489,14559
20160907,9296,5259,7365,10037,13353,715,58998,14559
20160908,9809,5637,7713,10769,14314,2891,63997,14559
20160909,9756,6330,8348,12096,16073,4904,70177,14559
20160910,10380,7001,8960,13372,17774,13037,83006,14559
20160911,10801,6961,8925,13303,17673,3815,73972,14559
20160912,10140,6973,8935,13321,17701,0,69561,14559
20160913,8911,6993,8953,13355,17755,9472,77924,14559
20160914,9380,6957,8919,13287,17660,8396,77093,14559
20160915,9649,7014,8970,13388,17805,6562,75867,14559
20160916,10135,7029,8986,13423,17848,2532,72427,14559
20160917,10044,6993,8952,13355,17749,12261,81839,14559
20160918,10827,6961,8925,13303,17674,5775,75959,14559
20160919,10046,6985,8945,13338,17733,5294,74828,14559
20160920,8848,6977,8938,13321,17716,0,68288,14559
20160921,8896,7021,8978,13406,17828,0,68605,14559
20160922,9532,7057,9010,13474,17911,0,69450,14559
20160923,9906,7081,9034,13524,17981,780,70766,14559
20160924,9816,7001,8960,13372,17773,8976,78380,14559
20160925,10903,6953,8918,13287,17655,3815,74025,14559
20160926,8029,6937,8902,13252,17612,7563,74794,14559
20160927,8724,6934,8898,13236,17604,12348,80243,14559
20160928,7623,6985,8945,13338,17732,4018,71127,14559
20160929,8259,7021,8978,13406,17826,3599,71564,14559
20160930,10110,7089,9041,13542,17994,5013,75244,14559
20161001,9912,7005,8966,13388,17788,13183,82723,14559
20161002,10417,6973,8935,13321,17700,3753,73589,14559
20161003,9740,6993,8952,13355,17749,1940,71214,14559
20161004,8225,6985,8945,13338,17734,1863,69576,14559
20161005,8046,7005,8963,13372,17784,931,68581,14559
20161006,9308,7053,9008,13474,17904,5064,74279,14559
20161007,9482,7113,9064,13593,18057,2532,72291,14559
20161008,9177,7009,8968,13388,17794,11130,79945,14559
