date,air,auto,boat,bus,coach,cruise,total,train
20160716,0,4275,8011,11180,13287,8928,58863,13182
20160717,0,3488,6988,9124,10847,6379,50008,13182
20160718,0,3643,7190,9532,11327,0,44874,13182
20160719,0,3729,7304,9767,11593,2096,47671,13182
20160720,0,3721,7292,9736,11572,2096,47599,13182
20160721,0,3952,7594,10349,12288,0,47365,13182
20160722,0,3990,7642,10442,12404,0,47660,13182
20160723,0,4127,7821,10804,12833,12912,61679,13182
20160724,0,3431,6915,8982,10670,5704,48884,13182
20160725,0,3613,7155,9469,11240,2532,47191,13182
20160726,0,3670,7227,9611,11414,1894,46998,13182
20160727,0,3719,7290,9736,11564,3194,48685,13182
20160728,0,4065,7742,10647,12640,3814,52090,13182
20160729,0,3920,7550,10254,12190,5828,52924,13182
20160730,0,3936,7572,10302,12236,13037,60265,13182
20160731,0,3627,7172,9500,11282,7158,51921,13182
20160801,0,3831,7437,10034,11912,5365,51761,13182
20160802,0,3788,7382,9924,11779,2876,48931,13182
20160803,0,3743,7322,9798,11641,4798,50484,13182
20160804,0,3850,7461,10081,11969,4454,50997,13182
20160805,0,3963,7609,10380,12323,3042,50499,13182
20160806,0,4068,7743,10647,12644,10144,58428,13182
20160807,0,3850,7462,10081,11976,5161,51712,13182
20160808,0,3992,7648,10458,12418,0,47698,13182
20160809,0,3984,7635,10427,12391,0,47619,13182
20160810,0,3810,7407,9971,11843,0,46213,13182
20160811,0,3896,7519,10191,12112,0,46900,13182
20160812,0,4046,7714,10584,12579,0,48105,13182
20160813,0,4178,7885,10929,12987,9699,58860,13182
20160814,0,4072,7752,10663,12667,3198,51534,13182
20160815,0,3726,7299,9752,11586,2532,48077,13182
20160816,0,3214,6633,8417,9997,2096,43539,13182
20160817,0,3329,6783,8715,10355,2096,44460,13182
20160818,0,3716,7284,9720,11554,0,45456,13182
20160819,0,3871,7487,10128,12035,2094,48797,13182
20160820,0,3657,7210,9579,11370,11729,56727,13182
20160821,0,3192,6604,8354,9929,5259,46520,13182
20160822,0,3154,6554,8259,9806,6679,47634,13182
20160823,0,3348,6807,8763,10415,2601,45116,13182
20160824,0,3351,6811,8778,10419,2075,44616,13182
20160825,0,3461,6954,9061,10762,4608,48028,13182
20160826,0,3804,7400,9956,11828,2532,48702,13182
20160827,0,3925,7557,10270,12205,9919,57058,13182
20160828,0,3272,6711,8574,10181,5766,47686,13182
20160829,0,3055,6425,7993,9503,1951,42109,13182
20160830,0,3041,6408,7961,9459,2096,42147,13182
20160831,0,3060,6432,8008,9517,3396,43595,13182
20160901,0,3305,6751,8652,10277,1300,43467,13182
20160902,0,4089,7773,10710,12713,2564,51031,13182
20160903,0,4116,7807,10772,12801,13525,62203,13182
20160904,0,3036,6400,7946,9441,3753,43758,13182
20160905,0,3108,6495,8134,9668,2532,43119,13182
20160906,0,3289,6730,8605,10231,0,42037,13182
20160907,0,3542,7058,9265,11013,715,44775,13182
20160908,0,3796,7391,9940,11805,2891,49005,13182
20160909,0,4263,8000,11165,13256,2810,52676,13182
20160910,0,4715,8587,12343,14659,13037,66523,13182
20160911,0,4688,8553,12280,14576,3815,57094,13182
20160912,0,4696,8563,12296,14599,0,53336,13182
20160913,0,4710,8580,12328,14643,4266,57709,13182
20160914,0,4685,8548,12264,14565,5206,58450,13182
20160915,0,4723,8597,12358,14685,4030,57575,13182
20160916,0,4734,8611,12390,14720,2532,56169,13182
20160917,0,4710,8579,12328,14638,10186,63623,13182
20160918,0,4688,8553,12280,14577,5775,59055,13182
20160919,0,4704,8572,12311,14626,5294,58689,13182
20160920,0,4698,8565,12296,14611,0,53352,13182
20160921,0,4728,8604,12374,14704,0,53592,13182
20160922,0,4752,8634,12437,14772,0,53777,13182
20160923,0,4768,8658,12484,14830,780,54702,13182
20160924,0,4715,8587,12343,14658,8976,62461,13182
